start,end,action,object,color,description
3.9,7.1,1,0,#6d19c7,
9.7,12.6,2,0,#467e28,
14.6,17.6,1,0,#6d19c7,
17.7,18.8,1,0,#6d19c7,
20.1,25.2,2,0,#467e28,
26,28,1,0,#6d19c7,
29.6,31.3,2,0,#467e28,
40.5,42.5,1,0,#6d19c7,
42.6,44.9,2,0,#467e28,
45,50,3,0,#499b5a,
50.1,51.5,1,0,#6d19c7,
51.6,53.6,1,0,#6d19c7,
55.9,57.3,2,0,#467e28,
69.6,73.7,1,0,#6d19c7,
74.9,75.6,1,0,#6d19c7,
75.7,77.2,2,0,#467e28,
79.1,81.9,2,0,#467e28,
88.4,89,1,0,#6d19c7,
89.1,90.7,2,0,#467e28,
92,94,2,0,#467e28,
99.1,100.2,1,0,#6d19c7,
100.8,102.7,1,0,#6d19c7,
102.8,106.3,2,0,#467e28,
106.4,111.3,3,0,#499b5a,
113.5,114.5,2,0,#467e28,
114.6,115.9,2,0,#467e28,
116,124.3,3,0,#499b5a,
124.6,125.9,1,0,#6d19c7,
126.4,127.7,1,0,#6d19c7,
130.3,131,1,0,#6d19c7,
131.1,132.7,2,0,#467e28,
135.9,137.2,1,0,#6d19c7,
137.7,139,1,0,#6d19c7,
139.1,140.6,4,0,#6deb90,
0.9,3.8,4,0,#6deb90,
7.2,9.6,4,0,#6deb90,
12.7,14.5,4,0,#6deb90,
18.9,20,4,0,#6deb90,
25.3,25.9,4,0,#6deb90,
28.1,29.5,4,0,#6deb90,
53.7,55.8,4,0,#6deb90,
66.8,69.5,4,0,#6deb90,
73.8,74.8,4,0,#6deb90,
85,88.3,4,0,#6deb90,
96.6,99,4,0,#6deb90,
100.3,100.7,4,0,#6deb90,
111.4,113.4,4,0,#6deb90,
126,126.3,4,0,#6deb90,
127.8,130.2,4,0,#6deb90,
132.8,135.8,4,0,#6deb90,
137.3,137.6,4,0,#6deb90,
