start,end,action,object,color,description
1.9,3.7,4,0,#6deb90,
2.7,4.8,1,0,#6d19c7,
5,6.8,1,0,#6d19c7,
8.4,10.8,2,0,#467e28,
10.9,11.7,2,0,#467e28,
21.5,22.4,1,0,#6d19c7,
23.3,24,2,0,#467e28,
24.1,26.9,3,0,#499b5a,
27.6,29,5,0,#b18ee7,
29,29.7,1,0,#6d19c7,
29.8,31.6,1,0,#6d19c7,
33.1,34.3,2,0,#467e28,
34.6,36.5,3,0,#499b5a,
37,37.8,5,0,#b18ee7,
38,39.1,1,0,#6d19c7,
40.1,44.2,2,0,#467e28,
45.1,46,1,0,#6d19c7,
48.1,50.3,2,0,#467e28,
52.4,54.6,1,0,#6d19c7,
56.7,58.9,2,0,#467e28,
63.3,65,2,0,#467e28,
70.1,72.4,1,0,#6d19c7,
72.5,74,2,0,#467e28,
74.1,75.2,3,0,#499b5a,
77.2,78.8,2,0,#467e28,
78.9,81.1,3,0,#499b5a,
81.4,82.9,5,0,#b18ee7,
83.6,84.5,1,0,#6d19c7,
7,10,4,0,#6deb90,
20.6,24.1,4,0,#6deb90,
26.6,28.5,4,0,#6deb90,
28.8,31.3,4,0,#6deb90,
31.4,34.4,4,0,#6deb90,
36.1,37.7,4,0,#6deb90,
37.8,41.1,4,0,#6deb90,
44,48.8,4,0,#6deb90,
50,53.5,4,0,#6deb90,
54.9,58.1,4,0,#6deb90,
60.8,64.8,4,0,#6deb90,
70.8,73.3,4,0,#6deb90,
75,78.6,4,0,#6deb90,
82,84.8,4,0,#6deb90,
84.9,86.9,4,0,#6deb90,
