start,end,action,object,color,description
1.8,3.4,4,0,#6deb90,
6.1,9.7,4,0,#6deb90,
24.3,28,4,0,#6deb90,
32.5,36.2,4,0,#6deb90,
41,42.9,4,0,#6deb90,
43,45.6,4,0,#6deb90,
36.3,39.3,4,0,#6deb90,
49.3,51.5,4,0,#6deb90,
51.6,54.5,4,0,#6deb90,
56.6,60.1,4,0,#6deb90,
61.3,68.2,4,0,#6deb90,
73.9,77.3,4,0,#6deb90,
80.8,84.4,4,0,#6deb90,
86.9,90,4,0,#6deb90,
91.9,95.2,4,0,#6deb90,
95.3,97.2,4,0,#6deb90,
2.5,5.4,1,0,#6d19c7,
5.9,6.8,1,0,#6d19c7,
8.3,9.8,2,0,#467e28,
11.1,13.3,2,0,#467e28,
25.6,26.3,1,0,#6d19c7,
27,28.1,2,0,#467e28,
28.2,32.4,3,0,#499b5a,
33.4,34.6,5,0,#b18ee7,
34.6,35.1,1,0,#6d19c7,
35.4,37,1,0,#6d19c7,
38.3,39.5,2,0,#467e28,
39.9,41.4,3,0,#499b5a,
42.1,42.9,5,0,#b18ee7,
43,44.3,1,0,#6d19c7,
44.8,49.6,2,0,#467e28,
50.1,51.9,1,0,#6d19c7,
53.4,56.9,2,0,#467e28,
58.7,62,1,0,#6d19c7,
66.8,69.7,2,0,#467e28,
76.9,81.1,2,0,#467e28,
81.5,84,1,0,#6d19c7,
84.1,85,2,0,#467e28,
85.1,87.3,3,0,#499b5a,
89.2,90.6,2,0,#467e28,
90.7,92.1,3,0,#499b5a,
92.1,93.3,5,0,#b18ee7,
94.2,94.8,1,0,#6d19c7,
